municipio,ano,NDVI_mean,NDVI_max,EVI_mean,EVI_max,precip_total,temp_mean,temp_max,srad_mean,etp_total,cod_ibge7,rendimento_kg_ha
Ulianopolis,2007,0.6312715494232706,0.8694771820612465,0.42593328555982596,0.6457818446785011,1269.9125996315065,25.91750104622457,30.262273815710923,17.037292118357925,2409.1647751124815,1508126,2990.0
Uruara,2007,0.5621464548257746,0.8994555033966525,0.3933499460992669,0.6841706030245202,1425.6564788750093,24.898333160874213,28.851198718654253,15.378000431872167,2323.4719928433415,1508159,2312.0
Agua Azul Do Norte,2008,0.6848754085413377,0.8764961994320477,0.48464186359260725,0.6907489321912534,1775.6217451106975,24.253208573479036,28.07600151811441,16.46308318634226,1131.214950450705,1500347,3625.0
Altamira,2008,0.6204652921346816,0.8914831872777563,0.41972237107748367,0.6686463380731282,1790.8971671292757,24.19153214366207,28.248568379318485,15.505347948733533,2150.529543590397,1500602,2700.0
Belterra,2008,0.44667887725428584,0.7118123782419269,0.3120829335969916,0.5458773545479341,2059.7987716802363,25.447661075002422,28.089781438324742,15.323427334630036,1167.961943112179,1501451,2700.0
Capitao Poco,2008,0.6495174488342101,0.8693183206875693,0.4432051036984845,0.6544508832373833,2178.503762030005,25.672928842570432,30.156600181823052,16.421716516411596,2074.755018539957,1502301,2400.0
Conceicao Do Araguaia,2008,0.676940408970145,0.8187786943164478,0.44511181646827186,0.5909341828325733,1734.758259862517,25.629368442360622,29.609828048735153,17.51843956793683,1242.708536370863,1502707,3000.0
Dom Eliseu,2008,0.6122149388411653,0.8707719205014578,0.4129034687090117,0.6614256232233454,2052.8119086954584,25.054896568270554,29.39336902396722,16.447630428427836,2563.857481729462,1502939,2880.0
Floresta Do Araguaia,2008,0.6648208854173957,0.8103172415492323,0.4450013567528386,0.5948722021499016,1672.5508989845312,25.456976167790494,29.271963855328078,17.090105832803285,1198.6410258698004,1503044,3000.0
Novo Progresso,2008,0.6532646085019808,0.8825192959983286,0.43148777188455834,0.6571950679186745,1883.9164288459192,23.928477525922,28.148454269583883,16.146578395513995,2164.3715483416436,1505031,3000.0
Paragominas,2008,0.634783241898496,0.8878777047505492,0.41410238735207394,0.6589974930975258,2009.3277972423123,25.448724727932092,29.951938852732734,16.58003738983411,2943.9065001812423,1505502,3000.0
Pau D'arco,2008,0.6937720424735637,0.8372982424843598,0.47875116891813563,0.6290496507412107,1783.479909298663,24.997379503594317,28.845360713391713,16.849732738305278,1140.4912536668505,1505551,2700.0
Placas,2008,0.5736467660356358,0.8975834462513269,0.38306520892315615,0.647305987733711,1981.0496009195788,24.27738737279495,28.306236652745625,14.830272506681634,1811.7853070910567,1505650,2700.0
Redencao,2008,0.7099216864778786,0.8343858570193097,0.4976738455446892,0.6428886672596184,1727.0252070878125,25.00629974838813,28.986981087937544,16.985827161640426,1228.480030911973,1506138,2400.0
Rondon Do Para,2008,0.6253255801068702,0.8715499089381652,0.42327087772091954,0.6550926849821999,2168.408268309948,24.958955541812518,29.101092172590263,16.263231687404403,2091.0724978668895,1506187,3000.0
Ruropolis,2008,0.624043538696847,0.898230136500217,0.4037257340283104,0.6439118529652144,1942.4078153607215,24.215194331942005,28.18922087958052,14.766161549799369,1670.246821213486,1506195,2700.0
Santa Maria Das Barreiras,2008,0.7029817209303962,0.8267560435943975,0.46998839576220136,0.6140052554360736,1638.516815267706,25.00926120251292,29.084839769639103,17.14911715644529,1597.6301077214027,1506583,3000.0
Santana Do Araguaia,2008,0.7304866305109958,0.8362061790235893,0.4794213703676842,0.6225138011515704,1562.3778472397614,24.99534152408892,29.12173739696518,17.293370822790248,1865.9072453349165,1506708,3300.0
Santarem,2008,0.5213698681926922,0.7924738551068337,0.35779169399526295,0.6009564327593483,2177.2615264903684,25.325369099187345,28.459059898983487,15.343812926603178,1636.4900244676094,1506807,2700.0
Ulianopolis,2008,0.5909696361849276,0.8531518526574565,0.3833972283562853,0.624798436871896,1964.7099070983277,25.33800591120923,29.63391934792443,16.538968672521875,2241.702881681904,1508126,2900.0
Uruara,2008,0.5369965375890994,0.8825847676202158,0.3743045168502906,0.6546485005268031,1949.7401633841018,24.33092020909853,28.3869624155575,14.700972703003023,2144.5456506657843,1508159,2400.0
Altamira,2009,0.6405695610251655,0.8891490153206816,0.4380030451402238,0.6902217734601052,1950.0624182867261,24.308766344685026,28.26343360716365,15.134815917129929,2004.07683191386,1500602,2700.0
Belterra,2009,0.4468696177866187,0.7014977894588397,0.31699826671349723,0.5471272967360383,2184.9080274337275,25.700779435412166,28.31327428380867,15.302058482783249,1137.8137682167035,1501451,2700.0
Capitao Poco,2009,0.650445061968526,0.8727659113833929,0.4402701255415082,0.6552943607139321,2239.706471187334,25.84332890628276,30.199143849514517,15.817840162803904,2022.112178604782,1502301,2400.0
Dom Eliseu,2009,0.6062513723225316,0.8794003808922747,0.4175332419872758,0.6664760860886114,2358.5468248846737,25.150088749237543,29.372796469516636,15.996317661545078,2451.6408480163436,1502939,3000.0
Floresta Do Araguaia,2009,0.6448713428347266,0.8261096767376346,0.4348286391065383,0.6038465227795519,1848.0007882931686,25.454149045042566,29.26718362293097,16.500051438737454,1136.1527074307987,1503044,3000.0
Novo Progresso,2009,0.6730814213518277,0.8837301817802918,0.4536860733944405,0.687713598426223,1958.465657711796,24.02811493554287,28.110485750803633,15.810448373515547,1997.8498401473723,1505031,3000.0
Paragominas,2009,0.6091811985296155,0.8847776845999193,0.41291948245952104,0.6708987784288555,2447.136628160475,25.540691191171486,29.864765783556383,15.932546248519046,2800.9831110887694,1505502,3000.0
Pau D'arco,2009,0.687303202362408,0.8480025404052972,0.4696187383018111,0.6283022521364537,2011.5326796397826,24.97792603404794,28.77424471897876,16.307391814098754,1074.0125501681468,1505551,3000.0
Placas,2009,0.5782287794667275,0.8954151566139448,0.3847998032604077,0.6600224191219515,2109.1890892288257,24.540969710197892,28.495779908810277,15.005787821227933,1775.5413431590725,1505650,2700.0
Redencao,2009,0.6950122770559135,0.8460183903740062,0.484174591964467,0.6390093496036777,1944.9461927175244,24.99283988655897,28.87977622668169,16.41274014988165,1152.2140459477466,1506138,2400.0
Rondon Do Para,2009,0.6360069081157436,0.8801525269614315,0.4310630124535196,0.6547997923909182,2414.0573618175267,25.010593529410592,29.154265356436078,15.95867932626134,1949.6354564443766,1506187,3000.0
Ruropolis,2009,0.6160838718667209,0.8911604990432908,0.41566564843903864,0.6825504879143311,2010.7253289528785,24.458250943951146,28.36706423004615,14.86229730816496,1631.939217149984,1506195,2700.0
Santa Maria Das Barreiras,2009,0.6926160006942487,0.8334989087251663,0.47223767856665444,0.6157154095824272,1834.5380236109067,24.94328605981344,28.884395955278592,16.438570874731074,1454.1046249019666,1506583,3000.0
Santana Do Araguaia,2009,0.7139544484510615,0.839464356747581,0.47906801227811896,0.6227562942037841,1720.5504904979985,24.843437413294104,28.74952017147326,16.19675950868742,1609.8412064371737,1506708,3300.0
Santarem,2009,0.5162459037577999,0.7894873514215143,0.35237179635269716,0.599179996375702,2191.2180480068273,25.536423391868542,28.613503531131553,15.255460473155305,1561.252820668069,1506807,2700.0
